Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
1.00000e-02   5.50000e+00   1.74446e-04   1.43840e-01   2.94427e-01   5.44875e-02   3.21494e-04   7.47331e-04  
1.00000e-02   5.60000e+00   1.73545e-04   1.43840e-01   2.91958e-01   5.32581e-02   3.21182e-04   7.52001e-04  
1.00000e-02   5.70000e+00   1.71742e-04   1.41980e-01   2.88376e-01   5.21561e-02   3.19813e-04   7.52008e-04  
1.00000e-02   5.80000e+00   1.68361e-04   1.40430e-01   2.82547e-01   5.09765e-02   3.16735e-04   7.45686e-04  
1.00000e-02   5.90000e+00   1.66783e-04   1.39190e-01   2.79339e-01   4.99387e-02   3.15563e-04   7.46334e-04  
1.00000e-02   6.00000e+00   1.66107e-04   1.38570e-01   2.77394e-01   4.89243e-02   3.15384e-04   7.50975e-04  
1.00000e-02   6.10000e+00   1.64980e-04   1.37330e-01   2.74865e-01   4.79453e-02   3.14682e-04   7.53457e-04  
1.00000e-02   6.20000e+00   1.62726e-04   1.35160e-01   2.70752e-01   4.69317e-02   3.12732e-04   7.51146e-04  
1.00000e-02   6.30000e+00   1.61599e-04   1.33920e-01   2.68156e-01   4.58863e-02   3.12065e-04   7.54394e-04  
1.00000e-02   6.40000e+00   1.60472e-04   1.33300e-01   2.65704e-01   4.49838e-02   3.11316e-04   7.56610e-04  
1.00000e-02   6.50000e+00   1.59346e-04   1.32680e-01   2.63229e-01   4.40591e-02   3.10580e-04   7.59140e-04  
1.00000e-02   6.60000e+00   1.58669e-04   1.32370e-01   2.61416e-01   4.31760e-02   3.10332e-04   7.63611e-04  
1.00000e-02   6.70000e+00   1.57542e-04   1.31440e-01   2.58914e-01   4.22244e-02   3.09613e-04   7.66683e-04  
1.00000e-02   6.80000e+00   1.56416e-04   1.31130e-01   2.56505e-01   4.13647e-02   3.08839e-04   7.69068e-04  
1.00000e-02   6.90000e+00   1.55063e-04   1.31130e-01   2.53811e-01   4.05311e-02   3.07789e-04   7.70220e-04  
1.00000e-02   7.00000e+00   1.53260e-04   1.29270e-01   2.50508e-01   3.97078e-02   3.06209e-04   7.69115e-04  
1.00000e-02   7.10000e+00   1.51908e-04   1.28030e-01   2.47855e-01   3.89146e-02   3.05128e-04   7.70059e-04  
1.00000e-02   7.20000e+00   1.51232e-04   1.27410e-01   2.46259e-01   3.82488e-02   3.04752e-04   7.73275e-04  
1.00000e-02   7.30000e+00   1.50330e-04   1.26790e-01   2.44262e-01   3.74921e-02   3.04171e-04   7.76383e-04  
1.00000e-02   7.40000e+00   1.49879e-04   1.26480e-01   2.42944e-01   3.67935e-02   3.04081e-04   7.81369e-04  
1.00000e-02   7.50000e+00   1.48527e-04   1.25860e-01   2.40399e-01   3.61094e-02   3.02928e-04   7.81620e-04  
1.00000e-02   7.60000e+00   1.47175e-04   1.25240e-01   2.37869e-01   3.54390e-02   3.01762e-04   7.81795e-04  
1.00000e-02   7.70000e+00   1.46724e-04   1.24930e-01   2.36621e-01   3.48109e-02   3.01630e-04   7.86400e-04  
1.00000e-02   7.80000e+00   1.45146e-04   1.23070e-01   2.33850e-01   3.42097e-02   3.00150e-04   7.84750e-04  
1.00000e-02   7.90000e+00   1.44245e-04   1.21830e-01   2.31991e-01   3.35905e-02   2.99478e-04   7.87031e-04  
1.00000e-02   8.00000e+00   1.43118e-04   1.20900e-01   2.29824e-01   3.29742e-02   2.98536e-04   7.88147e-04  
1.00000e-02   8.10000e+00   1.41315e-04   1.19040e-01   2.26658e-01   3.22884e-02   2.96826e-04   7.86439e-04  
1.00000e-02   8.20000e+00   1.41090e-04   1.19040e-01   2.25746e-01   3.16858e-02   2.96951e-04   7.92615e-04  
1.00000e-02   8.30000e+00   1.40413e-04   1.18730e-01   2.24189e-01   3.10585e-02   2.96553e-04   7.96743e-04  
1.00000e-02   8.40000e+00   1.39963e-04   1.18420e-01   2.22976e-01   3.04656e-02   2.96404e-04   8.01876e-04  
1.00000e-02   8.50000e+00   1.38160e-04   1.16250e-01   2.20004e-01   2.99742e-02   2.94554e-04   7.98008e-04  
1.00000e-02   8.60000e+00   1.36807e-04   1.15320e-01   2.17615e-01   2.94447e-02   2.93268e-04   7.97271e-04  
1.00000e-02   8.70000e+00   1.35906e-04   1.14080e-01   2.15868e-01   2.89379e-02   2.92512e-04   7.98922e-04  
1.00000e-02   8.80000e+00   1.35230e-04   1.13150e-01   2.14362e-01   2.83619e-02   2.92077e-04   8.02979e-04  
1.00000e-02   8.90000e+00   1.34553e-04   1.12530e-01   2.12918e-01   2.78480e-02   2.91601e-04   8.06302e-04  
1.00000e-02   9.00000e+00   1.34328e-04   1.12530e-01   2.12152e-01   2.73923e-02   2.91637e-04   8.11619e-04  
1.00000e-02   9.10000e+00   1.33427e-04   1.11290e-01   2.10429e-01   2.69094e-02   2.90863e-04   8.13374e-04  
1.00000e-02   9.20000e+00   1.32525e-04   1.10360e-01   2.08721e-01   2.64408e-02   2.90078e-04   8.15005e-04  
1.00000e-02   9.30000e+00   1.32074e-04   1.10050e-01   2.07590e-01   2.59297e-02   2.89878e-04   8.20199e-04  
1.00000e-02   9.40000e+00   1.30271e-04   1.07880e-01   2.04618e-01   2.54380e-02   2.87989e-04   8.16783e-04  
1.00000e-02   9.50000e+00   1.29820e-04   1.07260e-01   2.03582e-01   2.50222e-02   2.87722e-04   8.20692e-04  
1.00000e-02   9.60000e+00   1.28919e-04   1.06330e-01   2.01898e-01   2.45782e-02   2.86913e-04   8.22321e-04  
